##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077931_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	306436
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	64
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.903415395058023	33.0	32.0	34.0	31.0	34.0
2	31.599433486927122	33.0	32.0	34.0	30.0	34.0
3	31.899721312117375	33.0	32.0	34.0	31.0	34.0
4	31.895364774373768	33.0	32.0	34.0	31.0	34.0
5	32.064900990745215	33.0	32.0	34.0	32.0	34.0
6	33.69124711195813	34.0	33.0	37.0	32.0	37.0
7	33.64433030061742	34.0	33.0	37.0	32.0	37.0
8	33.57432220757352	34.0	33.0	37.0	32.0	37.0
9	33.60127726507329	34.0	33.0	37.0	32.0	37.0
10-14	34.61386194833505	35.6	35.0	37.4	32.8	37.4
15-19	36.06622067903249	38.0	38.0	38.0	34.0	38.0
20-24	36.12034029944262	38.0	38.0	38.4	33.8	38.4
25-29	36.188506572334845	38.0	38.0	39.0	33.8	39.0
30-34	36.16352190995836	38.0	38.0	39.0	33.2	39.0
35-39	36.50309658621377	38.0	38.0	39.0	33.8	39.0
40-44	36.516597816789826	38.0	38.0	39.0	34.0	39.0
45-49	36.395390036726084	38.0	38.0	39.0	33.6	39.0
50-54	36.33359314892651	38.0	38.0	39.0	33.0	39.0
55-59	36.23363944918112	38.0	38.0	39.0	32.4	39.0
60-64	36.10601660724428	38.0	38.0	39.0	31.4	39.0
65-69	36.011383583838985	38.0	38.0	39.0	31.0	39.0
70-74	35.87093878515724	38.0	37.0	39.0	30.0	39.0
75-79	35.85424921465384	38.0	37.0	39.0	30.0	39.0
80-84	35.710728555057756	38.0	37.0	39.0	29.6	39.0
85-89	35.448360616649666	38.0	37.0	39.0	27.0	39.0
90-94	35.24204483079781	38.0	37.0	39.0	26.0	39.0
95-99	35.0487697361372	38.0	37.0	39.0	25.0	39.0
100-104	34.819194485212606	38.0	36.2	38.8	24.0	39.0
105-109	34.533865618545015	38.0	35.4	38.0	19.2	39.0
110-114	34.279436319863706	38.0	35.0	38.0	15.4	39.0
115-119	33.965878923556886	38.0	34.0	38.0	14.8	39.0
120-124	33.66077591385183	37.8	33.8	38.0	14.0	39.0
125-129	33.28224655587485	37.0	33.0	38.0	14.0	39.0
130-134	32.93244894664062	37.0	32.4	38.0	14.0	38.0
135-139	32.49235280935245	37.0	32.0	38.0	14.0	38.0
140-144	32.09740040151932	37.0	31.0	37.6	13.4	38.0
145-149	31.64625106086829	37.0	29.2	37.0	13.0	38.0
150-151	29.653992328188725	35.0	21.0	37.0	12.5	37.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.3768603882520374
1101	2	0.31376596547014657
1101	3	0.3523675626329421
1101	4	0.19726807460502016
1101	5	0.24982449049736744
1101	6	0.09773086527519581
1101	7	0.2167292806426957
1101	8	0.3027947514390732
1101	9	0.3377940149507026
1101	10-14	0.17261078741526603
1101	15-19	0.31103605497988696
1101	20-24	0.4270142099075187
1101	25-29	0.3052647439158278
1101	30-34	0.28927128445675265
1101	35-39	0.2888308356023259
1101	40-44	0.2971178450352596
1101	45-49	0.1649431613166854
1101	50-54	0.1987481260508943
1101	55-59	0.22494584033008636
1101	60-64	0.2582085141727788
1101	65-69	0.17323359507307856
1101	70-74	0.26226766175656735
1101	75-79	0.29039186568715536
1101	80-84	0.18255019306668885
1101	85-89	0.050140695477495
1101	90-94	0.1777197794097205
1101	95-99	0.18229079281029215
1101	100-104	0.3252640226259942
1101	105-109	0.21149142458256165
1101	110-114	0.23540220023507175
1101	115-119	0.19948404590013524
1101	120-124	0.10841726201184088
1101	125-129	0.3617782864729193
1101	130-134	0.3823100812105338
1101	135-139	0.21472368050491752
1101	140-144	0.2575143383353016
1101	145-149	0.1629278396721432
1101	150-151	0.23879619122383744
1102	1	-0.11567600757719987
1102	2	-0.13198785445247196
1102	3	0.08897570087151507
1102	4	0.08226791065984429
1102	5	0.08885000036686819
1102	6	-0.021143323196177732
1102	7	0.04082430326712938
1102	8	-0.02706376387340015
1102	9	-0.23114985022078116
1102	10-14	-0.03468444505899271
1102	15-19	0.0011883600490776303
1102	20-24	0.10245358298115548
1102	25-29	-0.01190834940177865
1102	30-34	-0.02323756858280035
1102	35-39	0.05581192643027322
1102	40-44	0.13580911448254795
1102	45-49	0.2264117661986873
1102	50-54	0.16575932687594275
1102	55-59	0.16520514246425222
1102	60-64	0.14386699526773583
1102	65-69	0.16600006307000115
1102	70-74	0.08537348572734516
1102	75-79	0.14436527636608076
1102	80-84	0.16437169817911723
1102	85-89	0.2158565830196224
1102	90-94	0.17963400565426468
1102	95-99	0.21350987876823524
1102	100-104	0.05778887000050048
1102	105-109	0.013945453301467126
1102	110-114	0.2406119097117667
1102	115-119	-0.006609271277959294
1102	120-124	-0.11026723788749848
1102	125-129	0.32927864808170426
1102	130-134	0.21143291007290088
1102	135-139	0.024284079495927813
1102	140-144	0.2061334508720769
1102	145-149	0.2506909187497257
1102	150-151	0.1642553923163632
1103	1	0.08812834024888616
1103	2	0.08359185569245753
1103	3	0.2647003385526787
1103	4	0.1166882005149148
1103	5	0.058052898917594575
1103	6	0.08121174926758812
1103	7	0.029048940948285917
1103	8	0.08344348250340516
1103	9	-0.01919332848165567
1103	10-14	0.05444598972361092
1103	15-19	0.09539125859979691
1103	20-24	0.28071445254637695
1103	25-29	0.09479454914895769
1103	30-34	0.11643634446068063
1103	35-39	0.12806826495183543
1103	40-44	0.042446593408492106
1103	45-49	0.09959247361753398
1103	50-54	0.08596067487254544
1103	55-59	0.15288935134768167
1103	60-64	0.2075192900270153
1103	65-69	0.09516500761893809
1103	70-74	0.15179944562660808
1103	75-79	0.1445366798009715
1103	80-84	0.08740430328750648
1103	85-89	0.08905666257845013
1103	90-94	0.08061234406570605
1103	95-99	0.05016057221299519
1103	100-104	0.06262087583948528
1103	105-109	0.08958191235623758
1103	110-114	0.11998540704625782
1103	115-119	0.19443667338829584
1103	120-124	0.12344521363954186
1103	125-129	0.29436083930938395
1103	130-134	0.1855293519014367
1103	135-139	0.27180304032192737
1103	140-144	0.12885773259191424
1103	145-149	0.02465101195614139
1103	150-151	-0.011388900054054574
1104	1	0.009187502448607887
1104	2	-0.19136843813323523
1104	3	0.0018231298967279486
1104	4	-0.09460572444041304
1104	5	-0.11013749218822255
1104	6	-0.15009656917592906
1104	7	-0.1723035506141457
1104	8	-0.21376964038719848
1104	9	-0.06781353892437636
1104	10-14	-0.05856671625215881
1104	15-19	-0.10806764550979864
1104	20-24	0.0034988480198663297
1104	25-29	-0.05125667181590643
1104	30-34	-0.018032585457923744
1104	35-39	0.20677856154057395
1104	40-44	0.2476274069460871
1104	45-49	0.254976168496583
1104	50-54	0.2718127956139682
1104	55-59	0.3078121772811926
1104	60-64	0.19167393648513809
1104	65-69	0.23305368311171293
1104	70-74	0.20135971838814726
1104	75-79	0.40622332688432294
1104	80-84	0.4029715937774867
1104	85-89	0.45833447873845756
1104	90-94	0.3853522847437034
1104	95-99	0.5435348054366713
1104	100-104	0.4778671466608415
1104	105-109	0.5667670963156866
1104	110-114	0.6818572251236219
1104	115-119	0.4395390378063837
1104	120-124	0.5792387513230608
1104	125-129	0.9044269308232344
1104	130-134	0.6769045712681887
1104	135-139	0.6699455870349311
1104	140-144	0.6525543352886807
1104	145-149	0.47285445106149027
1104	150-151	0.9907030638430534
1105	1	0.1755718496769667
1105	2	0.10877885896501382
1105	3	0.19164244545621045
1105	4	0.16461752886149839
1105	5	0.3446938526342862
1105	6	-0.11050556411873202
1105	7	0.17836910613451096
1105	8	0.3223304234415423
1105	9	0.25648066247985213
1105	10-14	0.2941101630133218
