##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077930_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	875352
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.33082005867354	33.0	32.0	33.0	32.0	34.0
2	32.31586493205019	33.0	32.0	34.0	32.0	34.0
3	32.44737317102149	33.0	32.0	34.0	32.0	34.0
4	32.53830344821284	33.0	32.0	34.0	32.0	34.0
5	32.260386678730384	33.0	32.0	34.0	32.0	34.0
6	33.68712472239739	34.0	33.0	37.0	32.0	37.0
7	33.64463552947843	34.0	33.0	37.0	31.0	37.0
8	33.73925003884152	34.0	33.0	37.0	32.0	37.0
9	33.80557307231834	34.0	33.0	37.0	32.0	37.0
10-14	34.698987378791614	35.6	34.6	37.4	32.2	37.4
15-19	36.18233373545728	38.0	37.0	38.0	33.0	38.0
20-24	36.54045801003482	38.0	37.0	38.4	34.0	38.4
25-29	36.47342189199316	38.0	37.0	39.0	33.4	39.0
30-34	36.51053747520997	38.0	37.0	39.0	33.8	39.0
35-39	36.44408997037177	38.0	37.0	39.0	33.4	39.0
40-44	36.31388529816587	38.0	37.0	39.0	32.6	39.0
45-49	36.198602184384754	38.0	37.0	39.0	32.2	39.0
50-54	36.10546177125188	38.0	36.6	39.0	32.0	39.0
55-59	36.10035648558132	38.0	37.0	39.0	32.0	39.0
60-64	35.863988556079846	38.0	36.2	39.0	30.6	39.0
65-69	35.8427584861445	38.0	36.2	39.0	30.4	39.0
70-74	35.81430292501801	38.0	36.4	39.0	30.6	39.0
75-79	35.64814001486909	38.0	36.0	39.0	30.0	39.0
80-84	35.475838858894235	38.0	36.0	39.0	30.0	39.0
85-89	35.16074885989179	38.0	35.0	38.4	27.8	39.0
90-94	35.05916300452907	38.0	34.8	38.0	27.2	39.0
95-99	35.13084453191358	38.0	35.0	38.0	27.4	39.0
100-104	34.71959062889211	38.0	34.0	38.0	26.2	39.0
105-109	34.54048458805918	38.0	34.0	38.0	25.2	39.0
110-114	34.43564003376748	38.0	34.0	38.0	24.6	39.0
115-119	34.05407613277004	37.6	33.8	38.0	24.0	39.0
120-124	33.84457601519126	37.0	33.2	38.0	22.4	39.0
125-129	33.552694768630616	37.0	32.8	38.0	20.4	38.6
130-134	33.090221894426406	37.0	32.0	38.0	15.0	38.0
135-139	32.8356037445686	37.0	32.0	38.0	14.4	38.0
140-144	32.605868927691965	37.0	31.6	37.0	14.0	38.0
145-149	32.18021440682253	37.0	31.0	37.0	14.0	38.0
150-151	30.422712734800108	35.0	27.5	37.0	13.0	37.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.09156140450810568
1101	2	0.04962701062837738
1101	3	0.07887141774248363
1101	4	0.02947873679507751
1101	5	0.02744688643489468
1101	6	0.21650896975919665
1101	7	0.3040924150364219
1101	8	0.2520490486175433
1101	9	0.35044254616872905
1101	10-14	0.1391255421854254
1101	15-19	0.17866208799546968
1101	20-24	0.2471527346002631
1101	25-29	0.2732429402975427
1101	30-34	0.23386915142651077
1101	35-39	0.19563962131050516
1101	40-44	0.1747115885485897
1101	45-49	0.239089101033521
1101	50-54	0.31077268523672785
1101	55-59	0.17267496538853067
1101	60-64	0.3129612959506929
1101	65-69	0.2398212995052873
1101	70-74	0.2548947070149836
1101	75-79	0.1387793809660991
1101	80-84	0.2658595875405183
1101	85-89	0.3649688260985684
1101	90-94	0.2020119346938003
1101	95-99	0.0832637712681219
1101	100-104	0.2183398870714015
1101	105-109	0.25943076551430266
1101	110-114	0.17516128636727046
1101	115-119	0.20137069962298426
1101	120-124	0.17811596160422738
1101	125-129	0.3959225557816666
1101	130-134	0.4171123395793259
1101	135-139	0.37198606170506565
1101	140-144	0.4532844103649438
1101	145-149	0.44581218610699835
1101	150-151	0.26692194617365317
1102	1	0.07989337064075386
1102	2	0.005510158544389299
1102	3	0.10730382529497717
1102	4	0.11225216205361477
1102	5	0.07020855989149055
1102	6	0.014379347383766117
1102	7	0.10773322121003304
1102	8	0.3271980027071706
1102	9	0.2684789179957434
1102	10-14	0.17083452839663948
1102	15-19	0.2530845065163092
1102	20-24	0.18424929523956024
1102	25-29	0.06553581478829784
1102	30-34	0.21218979934251792
1102	35-39	0.2494784938298551
1102	40-44	0.22823388748054185
1102	45-49	0.3034058736774341
1102	50-54	0.2955960006804119
1102	55-59	0.3689867510432805
1102	60-64	0.20454704047067906
1102	65-69	0.30550553193238983
1102	70-74	0.31312717612345864
1102	75-79	0.25044359861052357
1102	80-84	0.37405740304564716
1102	85-89	0.4240489039534765
1102	90-94	0.22786988638955563
1102	95-99	0.37946617360938717
1102	100-104	0.28287127239688203
1102	105-109	0.3927293090976107
1102	110-114	0.5286865426419567
1102	115-119	0.2806827319128331
1102	120-124	0.3714402659677134
1102	125-129	0.5676530847390069
1102	130-134	0.6251208100240433
1102	135-139	0.7757956643913388
1102	140-144	0.7024542253231232
1102	145-149	0.6660891762154861
1102	150-151	0.4939523405551931
1103	1	-0.019527541302046814
1103	2	0.07143258809760766
1103	3	-0.001505771433912173
1103	4	0.028427932124834854
1103	5	-0.017852103782843187
1103	6	0.28137821084471426
1103	7	0.13179663955519771
1103	8	0.1622138285165633
1103	9	0.2696626274246441
1103	10-14	0.13976663559029134
1103	15-19	0.3250223159853718
1103	20-24	0.07876203564160278
1103	25-29	0.2615534286219301
1103	30-34	0.19316429579380667
1103	35-39	0.21179443817223387
