##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077932_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	855633
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.842579704148857	32.0	32.0	33.0	29.0	33.0
2	30.874933528744215	32.0	32.0	33.0	29.0	33.0
3	31.132757852957987	32.0	32.0	33.0	29.0	34.0
4	31.433177542240657	33.0	32.0	33.0	29.0	34.0
5	31.372787164590427	33.0	32.0	33.0	29.0	34.0
6	32.3879630636032	33.0	32.0	37.0	20.0	37.0
7	32.48746366724986	34.0	32.0	37.0	29.0	37.0
8	32.340946410435315	33.0	32.0	37.0	19.0	37.0
9	32.21538323089455	33.0	32.0	37.0	18.0	37.0
10-14	34.01998380146628	35.6	33.8	37.4	30.4	37.4
15-19	35.32219818543698	38.0	36.0	38.0	31.2	38.0
20-24	34.56169642825837	38.0	35.4	38.0	19.4	38.4
25-29	35.19209450780884	38.0	36.0	38.0	30.0	39.0
30-34	34.77622461966755	38.0	35.4	38.0	22.4	39.0
35-39	34.63561253887277	38.0	35.4	38.0	20.0	39.0
40-44	35.13184626169483	38.0	36.0	38.0	29.4	39.0
45-49	35.04284919572596	38.0	36.0	38.0	25.0	39.0
50-54	34.70298474450591	38.0	36.0	38.0	21.8	39.0
55-59	34.862654080766994	38.0	36.0	38.0	27.0	39.0
60-64	34.584707640434885	38.0	35.2	38.0	21.0	39.0
65-69	34.656880986329064	38.0	34.8	38.0	22.8	39.0
70-74	34.220433740302454	38.0	34.0	38.0	16.6	39.0
75-79	33.68388871113098	38.0	33.6	38.0	15.6	39.0
80-84	33.79298802215588	37.8	33.8	38.0	15.8	39.0
85-89	33.47461318183089	37.6	33.2	38.0	15.0	39.0
90-94	32.92419413537705	37.0	31.8	38.0	14.2	39.0
95-99	32.999692674428545	37.0	32.0	38.0	14.2	39.0
100-104	32.37892682642826	36.8	30.6	38.0	14.0	39.0
105-109	31.94691568961875	36.8	30.0	38.0	13.6	39.0
110-114	32.2055021448583	37.0	30.8	38.0	13.6	39.0
115-119	31.331304657644306	36.0	27.4	38.0	13.0	38.8
120-124	30.87384495510248	35.0	26.0	38.0	13.0	38.0
125-129	30.81837343691356	35.0	26.0	38.0	13.0	38.0
130-134	30.186411213217372	34.6	25.2	37.2	12.6	38.0
135-139	29.50096185434204	33.2	24.0	37.0	12.0	38.0
140-144	29.09941540689207	33.0	24.0	37.0	12.0	38.0
145-149	28.34634201514853	32.4	20.4	37.0	12.0	37.4
150-151	25.874904654307667	28.0	14.0	35.0	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.16569673816017882
1101	2	0.47177597950335937
1101	3	0.44741913255754895
1101	4	0.5309045380420372
1101	5	0.4298086149201339
1101	6	1.113020336245988
1101	7	1.017949046095417
1101	8	1.1582250831555143
1101	9	1.415676814038335
1101	10-14	0.6124155646855414
1101	15-19	0.8609836054962159
1101	20-24	1.5382689969198466
1101	25-29	1.107720501948691
1101	30-34	1.3744674088129258
1101	35-39	1.4388998478055584
1101	40-44	0.9622437644635156
1101	45-49	0.7396029446732229
1101	50-54	0.8823337004634055
1101	55-59	0.6831412774854826
1101	60-64	0.6890009946965847
1101	65-69	0.48391742318585074
1101	70-74	0.6138973863341874
1101	75-79	0.8332453085511489
1101	80-84	0.6781211797155251
1101	85-89	0.6418355690925353
1101	90-94	0.9502729613110006
1101	95-99	0.5361822125148024
1101	100-104	0.7755950171930834
1101	105-109	0.9037860181331432
1101	110-114	0.4689419846186311
1101	115-119	0.7835314466091852
1101	120-124	0.9432775217543607
1101	125-129	0.42818121673322196
1101	130-134	0.422990603919974
1101	135-139	0.8379070451416268
1101	140-144	0.4060656839129031
1101	145-149	0.5116243690241795
1101	150-151	0.13521412097799512
1102	1	0.22219263700514702
1102	2	0.1990413327763676
1102	3	0.1526416592076103
1102	4	0.28035261019352475
1102	5	0.22795937253270537
1102	6	-0.143194484966223
1102	7	0.8862453856989561
1102	8	-0.11902530125429678
1102	9	-0.09378726931080195
1102	10-14	0.026825172344587145
1102	15-19	0.2723548865957923
1102	20-24	0.07142930012160775
1102	25-29	0.6100945558146549
1102	30-34	2.745910459083234E-4
1102	35-39	0.13224357052877167
1102	40-44	0.5110940272257238
1102	45-49	-0.024474964332277693
1102	50-54	-0.20000429791928553
1102	55-59	0.3704005923666216
1102	60-64	0.12572690261800545
1102	65-69	0.35621740708555905
1102	70-74	0.27863840573078846
1102	75-79	0.1522594621852349
1102	80-84	0.4166264995459059
1102	85-89	0.290917691249561
1102	90-94	0.13817328896681857
1102	95-99	0.36332368377173907
1102	100-104	0.3381678455550059
1102	105-109	-0.27230830897665825
1102	110-114	0.3801497524694426
1102	115-119	0.2190760738666846
1102	120-124	0.14623658124376604
1102	125-129	0.4448421847719395
1102	130-134	0.27532672904064626
1102	135-139	0.6929354244294359
1102	140-144	0.7019939656592946
1102	145-149	0.27356470661409205
1102	150-151	0.4398988478121062
1103	1	-0.06194283450954785
1103	2	0.13131127847337964
1103	3	-0.1270156218490186
1103	4	0.10676024658983252
1103	5	0.15899766077096444
1103	6	1.012666913848463
1103	7	-2.2016335240630767
1103	8	-1.8764909364103417
1103	9	-1.7008672285930686
1103	10-14	0.3183132686904102
1103	15-19	-0.08510792705413195
1103	20-24	-2.027628957176134
1103	25-29	0.4022608741954059
1103	30-34	-0.2839273159320328
1103	35-39	-1.227337306340523
1103	40-44	0.6930510953770366
1103	45-49	-0.7042091015551222
1103	50-54	-1.0995626486797931
1103	55-59	0.4737200745363026
1103	60-64	-0.6326516200138101
1103	65-69	0.40152499405704845
1103	70-74	0.5781828946144785
1103	75-79	-1.463859909019959
1103	80-84	-0.15659420609084407
1103	85-89	-0.2557714506653781
1103	90-94	-0.9233116394793761
1103	95-99	0.257955243142419
1103	100-104	-0.35435017498577537
1103	105-109	-1.6508591447553052
1103	110-114	0.28632946905759127
1103	115-119	-0.37842787294237823
1103	120-124	-0.12228333874164221
1103	125-129	0.6151926544762247
1103	130-134	-0.09520137404372875
1103	135-139	-0.21428534214404138
1103	140-144	0.5335721070981627
1103	145-149	-0.44948684538214323
1103	150-151	0.5697259255560105
1104	1	0.22097993319326292
1104	2	0.3061770594743365
1104	3	0.01670051970970121
1104	4	0.31213062623966437
1104	5	0.3809042462710117
1104	6	0.5950019878403694
1104	7	0.6883158556216813
1104	8	0.9194299802926409
1104	9	1.4018425602451572
1104	10-14	0.6606928841055932
1104	15-19	0.6825386408014396
1104	20-24	1.4418829548707492
1104	25-29	1.0394915314496629
1104	30-34	1.206839459608041
1104	35-39	1.2879279790218803
1104	40-44	0.7798087975681156
1104	45-49	0.6364591667427533
1104	50-54	0.8699452066529858
1104	55-59	0.41195672703268116
1104	60-64	0.7394051722769817
1104	65-69	0.42844626648463446
1104	70-74	0.35643405158240427
1104	75-79	0.7452176709809777
1104	80-84	0.5699312093719513
1104	85-89	0.7978980512237399
1104	90-94	0.8686282907613219
1104	95-99	0.6879743421454876
1104	100-104	0.5343875623440937
1104	105-109	0.3036678932119905
1104	110-114	0.4814457643780443
1104	115-119	1.1249849079319922
1104	120-124	0.9632170183184563
1104	125-129	0.7565632734024561
1104	130-134	0.9475479864738183
1104	135-139	1.1301063336667063
1104	140-144	1.1703650074360432
1104	145-149	1.4280162010331878
1104	150-151	0.8801764624402857
1105	1	0.31660188884729124
1105	2	0.21095446281635333
1105	3	0.22551876379859337
1105	4	0.2584100760586949
1105	5	0.30791753145857825
1105	6	-0.5878173302261338
1105	7	-0.8140401299007607
1105	8	0.6812899276931077
1105	9	-0.36783564815723935
1105	10-14	-0.006924217507908281
1105	15-19	0.4140406238545751
1105	20-24	1.4348219960708946
1105	25-29	0.5100380126931157
1105	30-34	0.8388302716027596
1105	35-39	1.3554993833693842
1105	40-44	0.655705778534589
1105	45-49	0.6651232505125222
1105	50-54	0.7756778450487545
1105	55-59	0.4124547840699435
1105	60-64	0.8155591237331876
1105	65-69	0.6136723994309321
1105	70-74	0.5420958238662692
1105	75-79	0.9589041242363123
1105	80-84	0.9099153803972371
1105	85-89	0.9377586436905432
1105	90-94	1.160189726385859
1105	95-99	0.765161926943243
1105	100-104	1.125151998157989
1105	105-109	0.9990474621383036
1105	110-114	0.6735559469656494
1105	115-119	0.9501785553616422
1105	120-124	1.0189566314028227
1105	125-129	0.5209129525707255
1105	130-134	0.9204071779201506
1105	135-139	0.8874098134053483
1105	140-144	0.7290226034592884
1105	145-149	1.0647303047056766
1105	150-151	0.6459334501621541
1106	1	0.21773522642878618
1106	2	0.17217976197655815
1106	3	0.2228902121096148
1106	4	0.19838896379983595
1106	5	0.18979704233834838
1106	6	-0.6345778813248408
1106	7	0.8653285481599298
1106	8	0.3586375136178219
1106	9	-0.27694770914299127
1106	10-14	0.3774006429734271
1106	15-19	0.4198812070157487
1106	20-24	0.9031610700157842
1106	25-29	0.6946003232026214
1106	30-34	0.6453843786833318
1106	35-39	0.8967887800548553
1106	40-44	0.4336244189293339
1106	45-49	0.5353791152657834
1106	50-54	0.3516099880816199
1106	55-59	0.44720119087103427
1106	60-64	0.37656186620723275
1106	65-69	0.36549598574384135
1106	70-74	0.30544025808097786
1106	75-79	0.591226009810967
1106	80-84	0.47135402984135055
1106	85-89	0.590625410659726
1106	90-94	0.6918567538488176
1106	95-99	0.5309258258420897
1106	100-104	0.8845036175992789
1106	105-109	0.7093548352097407
1106	110-114	0.47719141089487493
1106	115-119	0.8689829787895569
1106	120-124	0.7559411267080947
1106	125-129	0.757109430066297
1106	130-134	0.993571106664934
1106	135-139	0.9932433146177679
1106	140-144	0.9202661552641551
1106	145-149	1.06756520930195
1106	150-151	0.7649362290903028
1107	1	0.3774847504502503
1107	2	0.114709989704469
1107	3	0.14495336271664172
1107	4	0.3403912880586688
1107	5	0.46943752400390437
1107	6	1.0771707525549417
1107	7	0.9820112868291702
1107	8	0.9630189887803979
1107	9	1.0570346858326545
1107	10-14	0.1944369656992393
1107	15-19	0.27456310499562164
1107	20-24	1.2102970391575383
1107	25-29	0.06716665112092812
1107	30-34	0.7091098688794233
1107	35-39	0.8834333666908094
1107	40-44	0.4844765082926301
1107	45-49	0.5523660231753524
1107	50-54	0.7842906790097999
1107	55-59	-0.46164199565819786
1107	60-64	0.36613992499403736
1107	65-69	0.3607219673152713
1107	70-74	0.2573977386483506
1107	75-79	0.9762467249842857
1107	80-84	0.6105657311570667
1107	85-89	0.5205805650727697
1107	90-94	1.0020855141425287
1107	95-99	0.09239584662664413
1107	100-104	0.6073709251838224
1107	105-109	0.4687343990095165
1107	110-114	0.4527342257179967
1107	115-119	1.116430821835099
1107	120-124	1.1488524956301127
1107	125-129	0.5983422181633067
1107	130-134	0.7914180155190991
1107	135-139	0.9536549712723392
1107	140-144	0.6884110136155641
1107	145-149	1.2425705641221896
1107	150-151	0.7983402022883794
1108	1	0.1440628441209384
1108	2	0.23507579730643968
1108	3	0.2968673879165955
1108	4	0.3883498769768572
1108	5	0.20343033782322095
1108	6	0.3922112434338061
1108	7	0.20986293357588437
1108	8	0.5498280658042205
1108	9	1.3635934889963295
1108	10-14	0.38203245765898686
1108	15-19	0.4431726628560071
1108	20-24	0.7888951645043818
1108	25-29	0.4676356478534771
1108	30-34	0.7912329080874088
1108	35-39	0.8105496693094096
