##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077935_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	620201
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.09439842889644	33.0	32.0	33.0	32.0	34.0
2	32.05549652451383	33.0	32.0	33.0	31.0	34.0
3	32.25686511308431	33.0	32.0	33.0	32.0	34.0
4	32.417422738757274	33.0	32.0	34.0	32.0	34.0
5	32.126360647596506	33.0	32.0	34.0	31.0	34.0
6	33.593539836278886	34.0	33.0	37.0	31.0	37.0
7	33.514586400215414	34.0	33.0	37.0	31.0	37.0
8	33.57368498277172	34.0	33.0	37.0	31.0	37.0
9	33.65819629442713	34.0	33.0	37.0	31.0	37.0
10-14	34.57026383382161	35.6	34.4	37.4	31.6	37.4
15-19	36.04187126431593	38.0	36.6	38.0	32.8	38.0
20-24	36.42676390396017	38.0	37.0	38.4	34.0	38.4
25-29	36.343730177797205	38.0	37.0	39.0	33.0	39.0
30-34	36.39449952515395	38.0	37.0	39.0	32.8	39.0
35-39	36.34065397194779	38.0	37.0	39.0	32.8	39.0
40-44	36.2111170192435	38.0	36.8	39.0	32.4	39.0
45-49	36.0783552591547	38.0	36.0	39.0	32.0	39.0
50-54	35.98475926966731	38.0	36.0	39.0	31.4	39.0
55-59	35.99366401876614	38.0	36.0	39.0	31.0	39.0
60-64	35.7379597900556	38.0	36.0	39.0	30.2	39.0
65-69	35.726421117321294	38.0	36.0	39.0	30.2	39.0
70-74	35.719615101381386	38.0	36.0	39.0	30.4	39.0
75-79	35.53644822543344	38.0	36.0	39.0	30.0	39.0
80-84	35.35633280827551	38.0	35.8	39.0	29.4	39.0
85-89	35.05013405839266	38.0	34.6	38.0	27.0	39.0
90-94	34.93881304413752	38.0	34.4	38.0	27.0	39.0
95-99	35.03117602231808	38.0	34.6	38.0	27.0	39.0
100-104	34.60342892397093	38.0	34.0	38.0	25.4	39.0
105-109	34.41193297307549	38.0	34.0	38.0	24.4	39.0
110-114	34.315066530118344	38.0	34.0	38.0	24.2	39.0
115-119	33.92973464596032	37.4	33.6	38.0	24.0	39.0
120-124	33.71470532983978	37.0	33.0	38.0	20.6	39.0
125-129	33.41601925987853	37.0	32.6	38.0	16.8	38.6
130-134	32.92971184291139	37.0	32.0	38.0	14.0	38.0
135-139	32.66629795254075	37.0	31.6	37.8	14.0	38.0
140-144	32.42697293944953	37.0	31.6	37.0	14.0	38.0
145-149	31.983648705839236	37.0	31.0	37.0	13.8	38.0
150-151	30.226906642485652	35.0	27.5	37.0	13.0	37.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.16053168209285928
1101	2	-0.003378734056255439
1101	3	0.1004237033710993
1101	4	0.18131109562372671
1101	5	0.09128317358087656
1101	6	0.17728384043147116
1101	7	0.3240894111157431
1101	8	0.32799033417892787
1101	9	0.34505061265240755
1101	10-14	0.32395345211055826
1101	15-19	0.3364146691786942
1101	20-24	0.3143106583590267
1101	25-29	0.33565999331523955
1101	30-34	0.3047274379110547
1101	35-39	0.23673179250964438
1101	40-44	0.19938485522229143
1101	45-49	0.2580069370330662
1101	50-54	0.28316523398471105
1101	55-59	0.20828281916026015
1101	60-64	0.32209855305038815
1101	65-69	0.3000775959915245
1101	70-74	0.2777195046847041
1101	75-79	0.2375729519435481
1101	80-84	0.31171447171355027
1101	85-89	0.4302865031418932
1101	90-94	0.42627097462428054
1101	95-99	0.2231501598827208
1101	100-104	0.3299629480205013
1101	105-109	0.3287401906437637
1101	110-114	0.24407653803201868
1101	115-119	0.37092594934838274
1101	120-124	0.17891163571196955
1101	125-129	0.3074067262987299
1101	130-134	0.5292555517661057
1101	135-139	0.39155749822865005
1101	140-144	0.349491801208508
1101	145-149	0.4831530867603675
1101	150-151	0.013668095958458082
1102	1	0.052436677141621146
1102	2	-0.12791457023960362
1102	3	0.04587604256396105
1102	4	0.09369046122491653
1102	5	-0.08497669963574594
1102	6	0.08100317515438604
1102	7	0.12432125635947244
1102	8	0.11041054378630122
1102	9	0.13957634540902575
1102	10-14	0.11732312565110448
1102	15-19	0.1649752492909613
1102	20-24	-0.016430024371004492
1102	25-29	-0.04215270946328786
1102	30-34	0.12484991829371239
1102	35-39	0.2055556668372347
1102	40-44	0.15516665516402384
1102	45-49	0.07175872380600623
1102	50-54	0.22137512009930305
1102	55-59	0.17245201066659632
1102	60-64	0.1502672897543036
1102	65-69	0.028005164743603927
1102	70-74	0.07102303407818056
1102	75-79	0.14871757819504694
1102	80-84	0.1591016446526936
1102	85-89	0.1674025659494589
1102	90-94	-0.034539369032913214
1102	95-99	0.2089942473595343
1102	100-104	-0.023511679269411445
1102	105-109	0.06940693028219869
1102	110-114	0.38247098765086207
1102	115-119	0.187944048673657
1102	120-124	0.3614433006463642
1102	125-129	0.5992506336566237
1102	130-134	0.4980469753950345
1102	135-139	0.6545700300933461
1102	140-144	0.5808760531319166
1102	145-149	0.34881218860124363
1102	150-151	0.6511130138803871
1103	1	0.07447945492729247
1103	2	0.0336440272286751
1103	3	0.006491639194024401
1103	4	0.07846854524611047
1103	5	-0.02863817121430401
1103	6	0.2050733159474305
1103	7	0.2542994483551553
1103	8	0.020217042145375785
1103	9	0.26860976067036546
1103	10-14	0.13607644657685114
1103	15-19	0.26556129500962555
1103	20-24	0.20769318019802085
1103	25-29	0.30732219357278723
1103	30-34	0.19602385666300393
1103	35-39	0.22902448858555857
1103	40-44	7.364469482098457E-4
1103	45-49	0.17512507413758982
1103	50-54	0.23357813609371192
1103	55-59	0.24771970280124833
1103	60-64	0.013142086216895166
1103	65-69	0.21991728803379118
1103	70-74	0.17319306522584554
1103	75-79	0.11226063553331755
1103	80-84	0.4325596996122414
1103	85-89	0.42220724550472966
1103	90-94	0.28632984245979287
1103	95-99	0.27498763151915284
1103	100-104	0.060185516788962445
1103	105-109	-0.12081462729769754
1103	110-114	0.16603136256149753
1103	115-119	-0.5841750111829995
1103	120-124	-0.6789487356045711
1103	125-129	-0.24020683973034807
1103	130-134	-0.7218800402349146
1103	135-139	-1.3414268008123393
1103	140-144	-1.713632389071492
1103	145-149	-1.946527713779929
1103	150-151	-1.6006127663480747
1104	1	0.143679276515158
1104	2	-0.12990548213795705
1104	3	-0.040268396488400526
1104	4	-0.007138056002773396
1104	5	-1.7429967103765875E-4
1104	6	-0.04466709440047367
1104	7	0.009831116508586035
1104	8	-0.00972586597237779
1104	9	0.01817889537152695
1104	10-14	0.11730427886944739
1104	15-19	0.2754920711024056
1104	20-24	-0.037796204280120094
1104	25-29	0.13110346029892384
1104	30-34	0.173884338375764
1104	35-39	0.10114041749250191
1104	40-44	0.12349562935629166
1104	45-49	0.04211466416480647
1104	50-54	0.14857590593511105
1104	55-59	0.23571337881055854
1104	60-64	0.29221407133739064
1104	65-69	0.1762980412417221
1104	70-74	0.18423665956307644
1104	75-79	0.11924319194093158
1104	80-84	0.011749985412414787
1104	85-89	0.11935473298372301
1104	90-94	0.005373704328910378
1104	95-99	0.2464274968424789
1104	100-104	0.11753466848636407
1104	105-109	0.048363357262410034
1104	110-114	0.29805820635012026
1104	115-119	0.21321087201206268
1104	120-124	0.1661093078731426
1104	125-129	-0.025894160372537556
1104	130-134	0.10481765890838801
1104	135-139	-0.16206119990664547
1104	140-144	-0.08751438345061757
1104	145-149	0.1307439789449205
1104	150-151	0.024949437384510276
1105	1	0.033099535236495115
1105	2	0.061641335215988136
1105	3	0.1460905443419307
1105	4	-0.055206052079917356
1105	5	0.04806163177247669
1105	6	0.015518400392409148
1105	7	-0.05135265036200565
1105	8	-0.037276979781744046
1105	9	-0.37410037423104825
1105	10-14	-0.2900136681720724
1105	15-19	-0.18163991414021297
1105	20-24	0.1180259971862796
1105	25-29	0.21525671299588112
1105	30-34	0.368452834149366
1105	35-39	0.2969348172156643
1105	40-44	0.4015875947317511
1105	45-49	-0.08191280991254501
1105	50-54	0.2632617652693128
1105	55-59	0.45053401158201467
1105	60-64	0.45173615485990126
1105	65-69	0.3164417724009496
1105	70-74	0.4141740323695302
1105	75-79	0.5144520243686372
1105	80-84	0.2123514042440604
1105	85-89	0.39902627105284694
1105	90-94	0.31347470095349905
1105	95-99	0.36931562848168653
1105	100-104	0.45550113814937987
1105	105-109	0.21836370004159988
1105	110-114	0.35177452424926514
1105	115-119	0.5214951841782423
1105	120-124	0.2579647353803054
1105	125-129	-0.25804089029838195
1105	130-134	0.10686649479065125
1105	135-139	0.27378814981734223
1105	140-144	0.19390409368168093
1105	145-149	0.685628713984876
1105	150-151	0.7883782186988455
1106	1	-0.06930406792188393
1106	2	-0.16844601067449005
1106	3	-1.342636880465875E-4
1106	4	-0.06156399426615167
1106	5	0.11274064592078759
1106	6	-0.013951571415795172
1106	7	0.09533677939999308
1106	8	-0.12833834654088605
1106	9	-0.05762745594981311
1106	10-14	0.13731866927584235
1106	15-19	0.32147848016302305
1106	20-24	0.15879380238210672
1106	25-29	0.3321830960972818
1106	30-34	0.19338493797604173
1106	35-39	0.12080871911606295
1106	40-44	0.25250841482303343
1106	45-49	0.3417138396626598
1106	50-54	0.46159257768820083
1106	55-59	0.2814245276190519
1106	60-64	0.15199398148764232
1106	65-69	0.2140775451525343
1106	70-74	0.2542810831374993
1106	75-79	0.29322567260336285
1106	80-84	0.48290302520752704
1106	85-89	0.4344326289769356
1106	90-94	0.2673718792869906
1106	95-99	0.2061222039632895
1106	100-104	0.47102211040545683
1106	105-109	0.3371322352515449
1106	110-114	0.5353589231406417
1106	115-119	0.3780051468414527
1106	120-124	0.3725884370981447
1106	125-129	0.3573742554336974
1106	130-134	0.42024349701826935
1106	135-139	0.41809585925999215
1106	140-144	0.41298310498500257
1106	145-149	0.5439904214220945
1106	150-151	0.3241538260530774
1107	1	-0.10395307978828328
1107	2	-0.06126055095683114
1107	3	-0.08443813447367887
1107	4	0.03732488240319043
1107	5	0.08578701543252976
1107	6	0.1403105451806681
1107	7	-0.2774551791610804
1107	8	-0.6104335343614196
1107	9	-0.19956713782615054
1107	10-14	0.001464981233525009
1107	15-19	-0.026861653347737047
1107	20-24	0.13544767518396839
1107	25-29	0.08767928909767875
1107	30-34	0.29643852923954483
1107	35-39	0.039943691673634873
1107	40-44	0.303941009204884
1107	45-49	0.18768780115170358
1107	50-54	0.16848393821180707
1107	55-59	-0.034046356994643645
1107	60-64	0.13374387204262916
1107	65-69	0.11152756760753135
1107	70-74	0.24587658809689827
1107	75-79	0.17207324926843626
1107	80-84	0.030640614496427077
1107	85-89	0.30683187592292427
1107	90-94	0.5070207533500621
1107	95-99	0.131638331749663
1107	100-104	0.30372812435196295
1107	105-109	0.40892876277791856
1107	110-114	0.1537077985737625
1107	115-119	0.28776211985086064
1107	120-124	0.14825757890839242
1107	125-129	-0.042153779916432654
1107	130-134	0.6158620996748709
1107	135-139	0.13415087905347178
1107	140-144	0.3776640785120122
1107	145-149	0.5392225777068802
1107	150-151	0.3146414411725189
1108	1	0.13469441091768886
1108	2	0.061481009843063816
1108	3	0.1395861325380281
1108	4	0.056851101440194896
1108	5	0.02277668293569235
1108	6	-0.20511254278538615
1108	7	-0.25547541161429166
1108	8	-0.3616590035373193
