##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077933_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1042773
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.39173914169239	33.0	32.0	33.0	32.0	34.0
2	32.380929502394096	33.0	32.0	34.0	32.0	34.0
3	32.506934874608376	33.0	32.0	34.0	32.0	34.0
4	32.5938914797372	33.0	32.0	34.0	32.0	34.0
5	32.32287755820298	33.0	32.0	34.0	32.0	34.0
6	33.7264687520678	34.0	33.0	37.0	32.0	37.0
7	33.66558109962571	34.0	33.0	37.0	31.0	37.0
8	33.75479418818861	34.0	33.0	37.0	32.0	37.0
9	33.82325875334325	34.0	33.0	37.0	32.0	37.0
10-14	34.74708378525336	35.6	34.6	37.4	32.4	37.4
15-19	36.246417197223174	38.0	37.0	38.0	33.6	38.0
20-24	36.592850025844555	38.0	37.0	38.4	34.0	38.4
25-29	36.526848125143246	38.0	37.0	39.0	33.6	39.0
30-34	36.56019996681924	38.0	37.0	39.0	33.8	39.0
35-39	36.480212156392426	38.0	37.0	39.0	33.4	39.0
40-44	36.346809809206555	38.0	37.0	39.0	32.6	39.0
45-49	36.230824104145825	38.0	37.0	39.0	32.4	39.0
50-54	36.13940236495847	38.0	37.0	39.0	32.0	39.0
55-59	36.13028446646596	38.0	37.0	39.0	32.0	39.0
60-64	35.8849716984199	38.0	36.2	39.0	30.6	39.0
65-69	35.86650600485895	38.0	36.2	39.0	30.6	39.0
70-74	35.84477015039747	38.0	36.6	39.0	30.6	39.0
75-79	35.67442330423536	38.0	36.0	39.0	30.0	39.0
80-84	35.49397437723487	38.0	36.0	39.0	30.0	39.0
85-89	35.1898824281033	38.0	35.0	38.4	27.8	39.0
90-94	35.08661990198745	38.0	34.8	38.0	27.4	39.0
95-99	35.15441883739725	38.0	35.0	38.0	27.4	39.0
100-104	34.75033480400522	38.0	34.0	38.0	26.2	39.0
105-109	34.559618563486374	38.0	34.0	38.0	25.2	39.0
110-114	34.465619948826784	38.0	34.0	38.0	24.8	39.0
115-119	34.08066027273046	37.6	34.0	38.0	24.0	39.0
120-124	33.88026745843128	37.0	33.2	38.0	24.0	39.0
125-129	33.60430257011444	37.0	33.0	38.0	20.4	38.4
130-134	33.14348283273051	37.0	32.0	38.0	15.0	38.0
135-139	32.8911777469038	37.0	32.0	37.8	14.6	38.0
140-144	32.66995462899284	37.0	32.0	37.0	14.0	38.0
145-149	32.25435745438104	37.0	31.0	37.0	14.0	38.0
150-151	30.496286285502656	35.0	27.5	37.0	13.0	37.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.04382994937361673
1101	2	0.08500065645372246
1101	3	0.06249090811552804
1101	4	0.10022939099949468
1101	5	0.046755514964083034
1101	6	0.18206706940868855
1101	7	0.25531774082566727
1101	8	0.3047765255423869
1101	9	0.2908447049400209
1101	10-14	0.18968938793404533
1101	15-19	0.25639113420918136
1101	20-24	0.26599882337765024
1101	25-29	0.32879809957559303
1101	30-34	0.2793578119860811
1101	35-39	0.2623911292094263
1101	40-44	0.19078230606099567
1101	45-49	0.26497423512164886
1101	50-54	0.32477276494775253
1101	55-59	0.21564955921235907
1101	60-64	0.37293621809622124
1101	65-69	0.2859529002742036
1101	70-74	0.26867834616945174
1101	75-79	0.26381979153646995
1101	80-84	0.3253947418203822
1101	85-89	0.42484673525573413
1101	90-94	0.3197404989420889
1101	95-99	0.3225339518213204
1101	100-104	0.48097176248338513
1101	105-109	0.3885425309162045
1101	110-114	0.3340880211209196
1101	115-119	0.39482918077837326
1101	120-124	0.4593353975821586
1101	125-129	0.5940421637002089
1101	130-134	0.656296010587532
1101	135-139	0.5744084399625535
1101	140-144	0.5690611170735735
1101	145-149	0.601925258277646
1101	150-151	0.4701013085781618
1102	1	0.07819068400281282
1102	2	-0.0629437971155653
1102	3	0.06190762005545736
1102	4	0.09902252518662635
1102	5	0.048315442021490185
1102	6	0.10270767552289328
1102	7	0.04735062956855529
1102	8	0.14509134667440549
1102	9	0.1603748176248203
1102	10-14	0.12051795178197722
1102	15-19	0.2152493215099227
1102	20-24	0.1428262136303502
1102	25-29	0.060067772386794616
1102	30-34	0.16191251542165475
1102	35-39	0.22934044265089426
1102	40-44	0.199462575339993
1102	45-49	0.19054264605076554
1102	50-54	0.2624768830895974
1102	55-59	0.18396650784366386
1102	60-64	0.10757094811424395
1102	65-69	0.14397485496726858
1102	70-74	0.11322191577402663
1102	75-79	0.13818328115532097
1102	80-84	0.1989610537991311
1102	85-89	0.25634991629126347
1102	90-94	0.05164578183816815
1102	95-99	0.3269441283424257
1102	100-104	0.14441046901876575
1102	105-109	0.22923782790635272
1102	110-114	0.4275023925458754
1102	115-119	0.28307153920411565
1102	120-124	0.3605820698531019
1102	125-129	0.48266646190986506
1102	130-134	0.45588471153583043
1102	135-139	0.7138480455998675
1102	140-144	0.7831472040746377
1102	145-149	0.568264362143033
1102	150-151	0.7326419675534446
1103	1	0.04782132465256694
1103	2	0.08804616008458055
1103	3	0.1350928389413113
1103	4	0.028224998815851166
1103	5	0.045527554042521956
1103	6	0.24573669180031743
1103	7	0.09367220136783772
1103	8	0.19544941629998647
1103	9	0.214970746583802
1103	10-14	0.22295198271919503
1103	15-19	0.3869913091754853
1103	20-24	0.17700037869624197
1103	25-29	0.3441522936687633
1103	30-34	0.2536229929601532
1103	35-39	0.21140069238885673
1103	40-44	0.04351074295242796
