##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077940_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	289453
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.94679274355422	34.0	33.0	34.0	32.0	34.0
2	32.88607131382297	34.0	33.0	34.0	32.0	35.0
3	32.965006408639745	34.0	33.0	34.0	32.0	35.0
4	32.989407606761716	34.0	33.0	34.0	32.0	35.0
5	33.06072142973125	34.0	33.0	34.0	32.0	35.0
6	34.32914497344992	34.0	34.0	37.0	33.0	37.0
7	34.41110301154246	34.0	34.0	37.0	33.0	37.0
8	34.37125198218709	34.0	34.0	37.0	33.0	37.0
9	34.4346301472087	35.0	34.0	37.0	33.0	37.0
10-14	35.475416043364554	36.2	35.6	37.4	34.6	37.4
15-19	36.97481870977326	38.0	38.0	38.0	37.0	38.0
20-24	37.05555789713702	38.0	38.0	38.4	36.0	38.4
25-29	37.17089544762016	38.0	38.0	39.0	36.0	39.0
30-34	37.133636894418096	38.0	38.0	39.0	36.0	39.0
35-39	37.12166502043442	38.0	38.0	39.0	36.0	39.0
40-44	37.04451302944759	38.0	38.0	39.0	36.0	39.0
45-49	36.93216691364931	38.0	38.0	39.0	36.0	39.0
50-54	36.86853802792325	38.0	38.0	39.0	36.0	39.0
55-59	36.786310073174604	38.0	38.0	39.0	35.6	39.0
60-64	36.69465126516749	38.0	38.0	39.0	34.4	39.0
65-69	36.60670248731081	38.0	38.0	39.0	34.0	39.0
70-74	36.48696747792404	38.0	38.0	39.0	34.0	39.0
75-79	36.41742244829842	38.0	38.0	39.0	33.2	39.0
80-84	36.329602646499644	38.0	38.0	39.0	32.6	39.0
85-89	36.17308880913786	38.0	38.0	39.0	32.0	39.0
90-94	36.022572687336435	38.0	38.0	39.0	31.0	39.0
95-99	35.87620198939593	38.0	37.8	39.0	30.4	39.0
100-104	35.71214804267135	38.0	37.0	39.0	29.6	39.0
105-109	35.521295208226675	38.0	37.0	38.8	27.6	39.0
110-114	35.338590444192256	38.0	37.0	38.0	26.4	39.0
115-119	35.12803788997096	38.0	37.0	38.0	25.8	39.0
120-124	34.924047130098046	38.0	37.0	38.0	25.2	39.0
125-129	34.66276152863601	37.6	36.8	38.0	24.4	39.0
130-134	34.41508568900859	37.0	36.2	38.0	24.0	38.4
135-139	34.14408300547056	37.0	35.4	38.0	24.0	38.0
140-144	33.89274185428821	37.0	35.0	38.0	24.0	38.0
145-149	33.60017045403616	37.0	34.2	37.0	15.6	38.0
150-151	31.47590550453074	35.5	29.0	37.0	13.5	37.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.07375094848623576
1101	2	0.003577964972009795
1101	3	0.062009779899646844
1101	4	0.017686378777909795
1101	5	0.03199883084428734
1101	6	-0.0035922395215735037
1101	7	-0.040540313682605245
1101	8	-0.008997088766015793
1101	9	-0.06480714998308201
1101	10-14	0.021134912952078366
1101	15-19	0.04986894322661328
1101	20-24	0.09565223617640584
1101	25-29	0.08827868714553233
1101	30-34	-0.025740392188183137
1101	35-39	-0.08289000507276256
1101	40-44	0.0032446830885817235
1101	45-49	-0.027964251854186273
1101	50-54	0.0423744659913865
1101	55-59	-2.3317477513984386E-4
1101	60-64	-0.0261882086094829
1101	65-69	-0.0445726458582314
1101	70-74	-0.08595117978817512
1101	75-79	-0.10707608420912607
1101	80-84	0.037413736508447926
1101	85-89	-0.05892706703937023
1101	90-94	-0.04913937652397493
1101	95-99	0.05722071841685761
1101	100-104	0.1004069611079288
1101	105-109	-0.09940575830339071
1101	110-114	0.09108450692669834
1101	115-119	0.10076180879917018
1101	120-124	0.12224864121208157
1101	125-129	-0.0030260034694435944
1101	130-134	0.04068361068004123
1101	135-139	-0.08598424628338108
1101	140-144	0.09868139513299923
1101	145-149	0.09646784719488011
1101	150-151	-0.2639634408926952
1102	1	0.12411483430527426
1102	2	0.033535818611298396
1102	3	0.06863195068377337
1102	4	0.044334597347258864
1102	5	-0.008662400015090554
1102	6	0.07535169392604502
1102	7	-0.005538239721978755
1102	8	0.06452263996573748
1102	9	-0.012897220787806418
1102	10-14	0.09726116059167822
1102	15-19	0.06324381378535548
1102	20-24	0.09506804642786904
1102	25-29	-0.04417401059863124
1102	30-34	0.006832682291658898
1102	35-39	-0.13807265439983496
1102	40-44	-0.04482236093555514
1102	45-49	-0.07316014885705613
1102	50-54	-0.014299569711141658
1102	55-59	-0.09157634792716607
1102	60-64	0.013880994451838546
1102	65-69	-0.15933890281660723
1102	70-74	-0.029722153343861635
1102	75-79	-0.09933395971517456
1102	80-84	-0.04864631278324083
1102	85-89	-0.0713390790978039
1102	90-94	-0.05914925203869359
1102	95-99	-0.10222264161444627
1102	100-104	-0.028254058122058723
1102	105-109	-0.15131473320055022
1102	110-114	0.028310404869294814
1102	115-119	-0.08699332555169548
1102	120-124	-0.1176863656366649
1102	125-129	-0.15302562157145871
1102	130-134	-0.033505001081813646
1102	135-139	-0.009758217268021951
1102	140-144	-0.012915863253901705
1102	145-149	0.05573262153694003
1102	150-151	0.032691504854103215
1103	1	0.13108861773703495
1103	2	0.02055288827079238
1103	3	0.07356383853131376
1103	4	0.10376208312253965
1103	5	0.1151332733207866
1103	6	0.004457275107306202
1103	7	0.018620763715453847
1103	8	0.07089315832320864
1103	9	0.020197156899214974
1103	10-14	0.03584838429921433
1103	15-19	-0.029604165374571778
1103	20-24	0.09460619608852738
1103	25-29	-0.012779547710216832
1103	30-34	0.07565465054189247
1103	35-39	-0.04392636677344797
1103	40-44	0.011522639377453459
1103	45-49	0.027768364926394895
1103	50-54	0.09063019340413803
1103	55-59	0.043690030802643776
1103	60-64	0.027682894167597283
1103	65-69	0.07616363452093111
1103	70-74	0.1212689585427924
1103	75-79	0.02201938781795576
1103	80-84	0.10597083345620462
1103	85-89	0.012550629791988399
1103	90-94	-0.005317595445703205
1103	95-99	0.14662817956285323
1103	100-104	0.16975416005692523
1103	105-109	0.16334882551819874
1103	110-114	0.09344377307254348
1103	115-119	0.21410682763652034
1103	120-124	0.21476128846163078
1103	125-129	0.31985209637045386
1103	130-134	0.07774470677407663
